Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee)
Deposit,2024-11-07 16:50:02,,,,"Transaction ID: b59e2993-a6bf-4b44-8287-e75af8d9088b",0db37642-0c6d-4a59-ac48-19ef7b3eee1a,,,,,,,100.00,"GBP",,,,
Market buy,2024-11-08 09:59:54,US26740W1099,QBTS,"D-Wave Quantum",,EOF23157662461,45.5668300000,1.4200000000,USD,1.29591224,,,50.00,"GBP",,,0.07,"GBP"
Market buy,2024-11-08 10:00:52,US76655K1034,RGTI,"Rigetti Computing",,EOF23157662614,45.2474800000,1.4300000000,USD,1.29589217,,,50.00,"GBP",,,0.07,"GBP"
Deposit,2024-11-30 14:30:45,,,,"Transaction ID: e44b1a0d-613d-45b1-b5fd-e680a823b601",60144ff3-d609-42c9-9b66-ce5464971035,,,,,,,300.00,"GBP",,,,
Market buy,2024-12-04 09:04:39,US7731211089,RKLB,"Rocket Lab Corporation",,EOF24456167828,5.4905000000,22.9800000000,USD,1.26361231,,,100.00,"GBP",,,0.15,"GBP"
Market buy,2024-12-04 09:05:58,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",,EOF24456167989,1.1082310000,91.1000100000,GBP,1.00000000,,,100.96,"GBP",,,,
Market buy,2024-12-09 15:32:22,US76655K1034,RGTI,"Rigetti Computing",,EOF24756500007,14.1554700000,4.5100000000,USD,1.27861345,,,50.00,"GBP",,,0.07,"GBP"
Market buy,2024-12-09 15:36:43,US26740W1099,QBTS,"D-Wave Quantum",,EOF24756502427,13.5715600000,4.6100000000,USD,1.27866118,,,49.00,"GBP",,,0.07,"GBP"
Deposit,2024-12-11 10:05:23,,,,"Transaction ID: 4894415e-e4c1-4b1c-b68f-15a9fc3dd615",3b76720e-c497-455f-b0f0-1bdd8cbe90ee,,,,,,,20.00,"GBP",,,,
Market buy,2024-12-11 10:06:37,FR001400X2S4,ATO,"Atos",,EOF24807267477,13476.6600000000,0.0018000000,EUR,1.21229325,,,20.04,"GBP",,,0.03,"GBP"
Deposit,2024-12-16 11:02:55,,,,"Transaction ID: f55a2e29-27c8-48d6-989c-095e99fd1093",ff0cab77-2ef7-42f7-93ee-be6ea0db8645,,,,,,,1200.00,"GBP",,,,
Market buy,2024-12-16 11:12:30,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",,EOF25102303072,8.2615030000,90.7825000000,GBP,1.00000000,,,750.00,"GBP",,,,
Market buy,2024-12-16 11:17:26,VGG794831062,LAES,"SEALSQ",,EOF25102303732,47.6537700000,2.6500000000,USD,1.26472198,,,100.00,"GBP",,,0.15,"GBP"
Market buy,2024-12-17 14:19:29,FR001400X2S4,ATO,"Atos",,EOF25151188258,7099.3500000000,0.0017000000,EUR,1.20930811,,,9.99,"GBP",,,0.01,"GBP"
Withdrawal,2024-12-17 14:20:05,,,,,11ea48f7-d360-4ece-a300-e97d752883ea,,,,,,,-340.00,"GBP",,,,
Deposit,2024-12-19 15:36:00,,,,,8fdf4a85-0050-40b3-8cec-facbc932d34e,,,,,,,300.00,"GBP",,,,
Market buy,2024-12-19 15:36:33,US76655K1034,RGTI,"Rigetti Computing",,EOF25255446065,24.0294600000,7.8300000000,USD,1.25618020,,,150.00,"GBP",,,0.22,"GBP"
Market buy,2024-12-19 15:36:52,US26740W1099,QBTS,"D-Wave Quantum",,EOF25255446252,28.6365700000,6.5700000000,USD,1.25604022,,,150.01,"GBP",,,0.22,"GBP"
Deposit,2024-12-19 15:37:23,,,,,1e70addd-e4c5-42ec-b612-c965b17d83d6,,,,,,,43.00,"GBP",,,,
Market buy,2024-12-19 15:37:52,VGG794831062,LAES,"SEALSQ",,EOF25255446763,25.9353300000,2.0800000000,USD,1.25629917,,,43.00,"GBP",,,0.06,"GBP"
